,Company,Model,Location,Year,Kilometers_Driven,Power_bhp,Mileage_n,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,No_Year,Engine_CC
671,Maruti,Ertiga,Hyderabad,2015,59000,99.6,17.5,Diesel,Manual,First,7,,7.5,5,1248
672,Maruti,Swift Dzire,Jaipur,2015,60000,73.9,22.07,Diesel,Manual,First,5,,6.25,5,1248
673,Mercedes-Benz,New C-Class,Bangalore,2007,39037,88.8,20.77,Diesel,Automatic,First,5,,9.25,13,2143
674,Honda,Brio,Mumbai,2013,17003,74,26.59,Petrol,Manual,First,5,,3.15,7,1198
675,Hyundai,i10,Hyderabad,2008,80400,170,14.84,Petrol,Manual,First,5,,2.3,12,1086
676,Hyundai,Verna,Jaipur,2012,75200,86.8,19.4,Diesel,Manual,First,5,,5.25,8,1582
677,Maruti,Ciaz,Kochi,2017,41217,66.7,16,Diesel,Manual,First,5,,7.4,3,1248
678,Ford,Ikon,Pune,2006,98293,126.32,22.32,Petrol,Manual,Second,5,,1.55,14,1299
679,Volkswagen,Polo,Pune,2017,54000,88.5,28.09,Petrol,Manual,Second,5,,6,3,1199
680,Honda,Jazz,Chennai,2016,17377,70,13.8,Petrol,Manual,First,5,,5.9,4,1199
681,Honda,Amaze,Bangalore,2013,33800,74,16.2,Diesel,Manual,Second,5,,4.7,7,1498
682,Hyundai,i20,Hyderabad,2015,86157,88.7,18.7,Diesel,Manual,First,5,,6.5,5,1396
683,Maruti,Ritz,Hyderabad,2012,146824,98.6,25.8,Diesel,Manual,First,5,,3.55,8,1248
684,Honda,City,Chennai,2014,55000,88.73,22.54,Petrol,Manual,First,5,,7.1,6,1497
685,Skoda,Superb,Hyderabad,2010,53293,73.9,21.1,Petrol,Manual,First,5,,6,10,1798
686,Maruti,Vitara,Pune,2017,38000,116.3,16.8,Diesel,Manual,First,5,,7.99,3,1248
687,Hyundai,i20,Bangalore,2009,64000,160,13.14,Petrol,Manual,Second,5,,4.1,11,1197
688,Maruti,Alto,Hyderabad,2017,25058,88.5,24.3,Petrol,Automatic,First,5,,3.95,3,998
689,Hyundai,EON,Kochi,2016,36700,80,17,Petrol,Manual,First,5,,4.38,4,814
690,Hyundai,i10,Mumbai,2011,35000,67.1,24.07,Petrol,Manual,First,5,,2.75,9,1197
691,Mercedes-Benz,SLK-Class,Coimbatore,2016,22732,55.2,21.1,Petrol,Automatic,First,2,,55.54,4,3498
692,Audi,A6,Hyderabad,2014,48000,78.9,20.36,Diesel,Automatic,First,5,,29,6,1968
693,Ford,EcoSport,Bangalore,2013,62084,306,18.1,Diesel,Manual,First,5,,6.6,7,1498
694,Volkswagen,Passat,Kolkata,2012,39273,187.74,18.53,Diesel,Automatic,First,5,,6.99,8,1968
695,Toyota,Innova,Bangalore,2017,64798,98.59,22.77,Diesel,Manual,First,7,26.45 Lakh,18.75,3,2393
696,Ford,Figo,Jaipur,2010,100002,140,14.3,Diesel,Manual,Third,5,,1.28,10,1399
697,Chevrolet,Aveo,Pune,2006,78000,147.8,13.68,Petrol,Manual,Third,5,,1.2,14,1399
698,Maruti,Ritz,Coimbatore,2013,57717,68,20,Petrol,Manual,First,5,,4.31,7,1197
699,Land,Rover,Chennai,2011,109000,92.7,14.49,Diesel,Automatic,First,5,,16.5,9,2179
700,Hyundai,Grand i10,Coimbatore,2017,74515,85.8,18.5,Petrol,Manual,First,5,,5.64,3,1197
701,Ford,Endeavour,Coimbatore,2017,50484,147.51,12.39,Diesel,Automatic,First,7,,31.12,3,3198
702,Audi,Q5,Kochi,2013,13452,82,18.9,Diesel,Automatic,First,5,,25.46,7,1968
703,Hyundai,Verna,Kochi,2017,37688,197.2,10.91,Petrol,Manual,First,5,,7.88,3,1591
704,Mercedes-Benz,E-Class,Chennai,2017,34000,167.6,12.8,Diesel,Automatic,First,5,,36,3,2143
705,Mercedes-Benz,M-Class,Pune,2014,120000,121.3,17.01,Diesel,Automatic,First,5,,30,6,2987
706,Maruti,Swift Dzire,Pune,2008,64000,204,13,Petrol,Manual,Second,5,,2.85,12,1298
707,Honda,City,Delhi,2011,100000,165,0,Petrol,Manual,First,5,,3.5,9,1343
708,Renault,Duster,Jaipur,2014,75000,85.8,17.5,Diesel,Manual,First,5,,7.5,6,1461
709,Mercedes-Benz,New C-Class,Hyderabad,2012,86000,90,13,Diesel,Automatic,First,5,,19,8,2143
710,BMW,X5,Hyderabad,2015,69000,83.8,20.46,Diesel,Automatic,First,5,,54,5,2993
711,Hyundai,Xcent,Kochi,2015,41721,170,14.84,Petrol,Manual,First,5,,4.7,5,1197
712,Maruti,Dzire,Hyderabad,2017,13000,258,15.97,Petrol,Automatic,First,5,10.34 Lakh,8.5,3,1197
713,BMW,3 Series,Kolkata,2013,38998,82,19.1,Diesel,Automatic,First,4,,17,7,1995
714,Maruti,Alto,Kochi,2017,54250,81.8,22,Petrol,Manual,First,5,,3.51,3,796
715,Audi,A4,Bangalore,2013,45979,181,16.07,Diesel,Automatic,Second,5,,19.5,7,1968
716,Mini,Cooper,Pune,2012,37000,47.3,22.74,Petrol,Automatic,Second,4,,17,8,1598
717,Audi,Q7,Coimbatore,2015,46983,174.33,17.11,Diesel,Automatic,Second,7,,43.35,5,2967
718,Chevrolet,Beat,Bangalore,2012,40700,181,13.6,Diesel,Manual,First,5,,2.65,8,936
719,Maruti,Wagon R,Kochi,2015,43828,241.4,12.07,Petrol,Manual,First,5,,3.52,5,998
720,Nissan,Terrano,Kolkata,2016,53000,57.6,25.44,Diesel,Manual,First,5,,6.25,4,1461
721,BMW,3 Series,Ahmedabad,2015,100000,67.04,20.51,Diesel,Automatic,First,5,,24.75,5,1995
722,Maruti,Swift Dzire,Mumbai,2015,19000,108.5,19.01,Petrol,Manual,First,5,,5.25,5,1197
723,Skoda,Yeti,Jaipur,2016,84000,184,18.88,Diesel,Manual,First,5,,11,4,1968
724,Ford,EcoSport,Kochi,2018,37630,83.14,20.85,Petrol,Automatic,First,5,,9.1,2,1499
725,Hyundai,i20,Chennai,2010,67714,108.5,17.72,Petrol,Manual,First,5,,3.25,10,1197
726,Maruti,S Cross,Pune,2017,32000,110.4,15.63,Diesel,Manual,First,5,,8.5,3,1248
727,Hyundai,Verna,Pune,2010,51000,80,18.5,Petrol,Manual,First,5,,3.1,10,1599
728,BMW,3 Series,Kochi,2015,58390,88.5,15,Diesel,Automatic,First,5,,19.86,5,1995
729,Hyundai,Grand i10,Kolkata,2017,14000,103.2,16.2,Diesel,Manual,First,5,7.46 Lakh,4.9,3,1186
730,Honda,City,Delhi,2014,55818,184,18.88,Petrol,Manual,Second,5,11.85 Lakh,5.7,6,1497
731,Maruti,Swift,Kolkata,2012,52241,73.97,24,Diesel,Manual,First,5,,2.9,8,1248
732,Maruti,Baleno,Coimbatore,2018,25433,117.3,17.4,Diesel,Manual,First,5,,7.83,2,1248
733,Tata,Safari,Kochi,2015,40611,,16.1,Diesel,Manual,First,7,,8.15,5,2179
734,Hyundai,Accent,Bangalore,2008,72000,74,25.2,Petrol,Manual,Second,5,,2,12,1495
735,Maruti,Swift,Hyderabad,2016,54631,74,27.39,Diesel,Manual,First,5,,6.25,4,1248
736,Maruti,Swift,Bangalore,2007,60000,138.1,14,Diesel,Manual,Second,5,,3.4,13,1248
737,Tata,Nano,Coimbatore,2016,24941,94,13.2,Petrol,Automatic,First,4,,3.19,4,624
738,Maruti,Ertiga,Ahmedabad,2017,63939,74,25.2,Diesel,Manual,First,7,10.41 Lakh,7.75,3,1248
739,Maruti,Celerio,Delhi,2014,35214,,17.8,Petrol,Automatic,Second,5,5.57 Lakh,3.2,6,998
740,Maruti,Swift,Delhi,2015,63000,37.48,21.9,Diesel,Manual,First,5,,4.9,5,1248
741,Volkswagen,Vento,Kochi,2012,121377,88.5,25.47,Petrol,Manual,First,5,,3.8,8,1598
742,Volkswagen,Jetta,Chennai,2009,100970,67.04,23.1,Diesel,Automatic,First,5,,4,11,1896
743,Mini,Cooper,Hyderabad,2014,60000,74,25.2,Diesel,Automatic,Second,5,42.48 Lakh,23.5,6,1496
744,Tata,Indica,Chennai,2008,77650,103.6,15.04,Diesel,Manual,First,5,,1.15,12,1396
745,Hyundai,Santro,Hyderabad,2007,71297,105,15.5,Petrol,Manual,First,5,,2.2,13,1086
746,Honda,City,Bangalore,2015,18955,113.98,20.7,Petrol,Automatic,First,5,16.04 Lakh,10.65,5,1497
747,Jaguar,XF,Coimbatore,2016,47877,53.5,17.2,Diesel,Automatic,First,5,,35.68,4,2179
748,Mercedes-Benz,E-Class,Kochi,2017,43368,,17,Diesel,Automatic,First,5,,31.94,3,2143
749,Chevrolet,Cruze,Chennai,2011,73000,,0,Diesel,Manual,Third,5,,4.2,9,1991
750,Mahindra,XUV500,Ahmedabad,2015,72007,117.3,18,Diesel,Manual,First,7,,9.9,5,2179
751,Mercedes-Benz,New C-Class,Kochi,2014,56778,187.7,16.36,Petrol,Automatic,First,5,,15.46,6,1796
752,Honda,Jazz,Kochi,2018,20024,204,15,Petrol,Manual,First,5,9.1 Lakh,8.46,2,1199
753,Toyota,Etios,Kolkata,2013,42103,147.9,18.3,Petrol,Manual,First,5,,3.25,7,1496
754,Maruti,Alto,Hyderabad,2012,67147,140,15.1,Petrol,Manual,First,5,,2.6,8,796
755,Maruti,Swift,Coimbatore,2016,37806,186,11.74,Petrol,Manual,First,5,,5.2,4,1197
756,Maruti,A-Star,Pune,2009,85000,88.7,18.2,Petrol,Manual,Third,5,,1.8,11,998
757,Tata,Nano,Chennai,2011,35000,88.73,16.78,Petrol,Manual,First,4,,1.6,9,624
758,Ford,Figo,Kolkata,2015,72035,46.3,19.7,Diesel,Manual,First,5,7.65 Lakh,2.5,5,1498
759,Fiat,Linea,Jaipur,2011,48500,81.8,20.4,Petrol,Manual,First,5,,2.5,9,1368
760,Ford,Figo,Coimbatore,2017,28854,66.1,19,Petrol,Manual,First,5,,6.7,3,1196
761,Maruti,Baleno,Hyderabad,2005,92450,37.48,25.4,Petrol,Manual,First,5,,1.2,15,1590
762,BMW,3 Series,Coimbatore,2016,14351,99,25.5,Diesel,Automatic,First,5,,35.55,4,1995
763,Chevrolet,Cruze,Jaipur,2017,51087,90,16,Diesel,Manual,First,5,,7.75,3,1998
764,Mahindra,Scorpio,Chennai,2005,50000,86.8,18.16,Diesel,Manual,First,8,,1.94,15,2609
765,Tata,Indica,Hyderabad,2016,73000,94,15.4,Diesel,Manual,First,5,,2.2,4,1396
766,Chevrolet,Cruze,Ahmedabad,2011,60000,184,18.88,Diesel,Automatic,First,4,,3.8,9,1991
767,Toyota,Innova,Chennai,2016,50000,163.7,17.9,Diesel,Manual,First,8,,15.65,4,2494
768,Mercedes-Benz,New C-Class,Coimbatore,2018,36797,116.6,12.7,Diesel,Automatic,First,5,,39.47,2,2143
769,Maruti,Ritz,Kolkata,2011,50000,69,25,Petrol,Manual,Second,5,,1.5,9,1197
770,Toyota,Innova,Ahmedabad,2013,94000,147.9,18.1,Diesel,Manual,First,8,,8.85,7,2494
771,Toyota,Fortuner,Bangalore,2013,74000,102,12.8,Diesel,Manual,Second,7,,17.9,7,2982
772,Hyundai,i10,Coimbatore,2014,41016,167.62,19.27,Petrol,Automatic,Second,5,,5.08,6,1197
773,Hyundai,Verna,Bangalore,2012,67000,85.8,18.5,Diesel,Manual,First,5,,6.25,8,1582
774,Audi,Q3,Bangalore,2015,76927,102,12.8,Diesel,Automatic,First,5,,22.75,5,1968
775,Chevrolet,Beat,Kolkata,2010,17088,168.5,12.55,Petrol,Manual,First,5,,1.46,10,1199
776,Ford,Fiesta,Pune,2007,112808,78.9,16.95,Diesel,Manual,Second,5,,2.05,13,1399
777,Ford,Figo,Coimbatore,2014,74980,126.32,22.32,Diesel,Manual,First,5,,4.08,6,1399
778,Maruti,Celerio,Hyderabad,2014,44600,174.33,15.73,Petrol,Automatic,First,5,,4.55,6,998
779,Mercedes-Benz,A Class,Mumbai,2013,37000,79.4,18.6,Diesel,Automatic,First,5,,14,7,2143
780,Hyundai,Creta,Ahmedabad,2016,21000,68,17.8,Petrol,Manual,First,5,13.74 Lakh,10.9,4,1591
781,Maruti,Wagon R,Bangalore,2010,81245,68,20,Petrol,Manual,First,5,,2.45,10,998
782,Mercedes-Benz,E-Class,Delhi,2013,70000,67.04,23.1,Diesel,Automatic,First,5,,15.8,7,2148
783,Ford,EcoSport,Mumbai,2017,4018,107.3,20,Petrol,Manual,First,5,,8.25,3,1499
784,Renault,Koleos,Delhi,2013,70000,121.3,15.8,Diesel,Automatic,Second,5,,8.5,7,1995
785,Mahindra,XUV500,Coimbatore,2016,56532,67.1,18.9,Diesel,Manual,First,7,,15.54,4,2179
786,Maruti,Omni,Hyderabad,2013,26875,170,10,Petrol,Manual,First,8,,2.35,7,796
787,Maruti,Wagon R,Coimbatore,2015,72599,110.4,18.88,Petrol,Manual,First,5,5.72 Lakh,4.32,5,998
788,Ford,Endeavour,Jaipur,2008,205000,148,13.73,Diesel,Manual,Second,7,,3.9,12,2499
789,Hyundai,Verna,Hyderabad,2011,98000,140,16,Diesel,Manual,Second,5,,5.2,9,1582
790,Hyundai,i20,Mumbai,2018,19500,34.2,16.8,Petrol,Manual,First,5,,5.85,2,1197
791,Maruti,Ertiga,Bangalore,2013,68000,67.04,22.5,Petrol,Manual,Second,7,,6.25,7,1373
792,Mahindra,XUV500,Coimbatore,2019,19654,141,13.1,Diesel,Automatic,First,7,21.33 Lakh,17.63,1,2179
793,Maruti,SX4,Mumbai,2017,26000,126.32,22.32,Diesel,Manual,First,5,,9.75,3,1248
794,Mercedes-Benz,SLK-Class,Bangalore,2015,10000,81.83,18.6,Petrol,Automatic,First,2,,55,5,3498
795,Volkswagen,Polo,Hyderabad,2011,75020,93.7,16.02,Diesel,Manual,First,5,,4.1,9,1199
796,Toyota,Fortuner,Hyderabad,2011,157000,155,14,Diesel,Manual,First,7,,11.99,9,2982
797,Mahindra,XUV500,Kochi,2017,43773,88.5,23.65,Diesel,Manual,First,7,,13.54,3,2179
798,Mercedes-Benz,GLE,Mumbai,2016,21000,306,18.1,Diesel,Automatic,First,5,78.76 Lakh,56,4,2143
799,Honda,Jazz,Chennai,2016,23280,73.9,22.07,Petrol,Manual,First,5,,6.5,4,1199
800,Maruti,Swift Dzire,Pune,2013,88000,168.5,12.55,Diesel,Manual,First,5,,4.75,7,1248
801,Hyundai,Verna,Hyderabad,2014,67000,140,16,Petrol,Manual,First,5,,5.6,6,1591
802,Ford,Endeavour,Coimbatore,2017,59636,201.15,17.9,Diesel,Automatic,First,7,,29.2,3,3198
803,Hyundai,i20,Kolkata,2018,11000,88.7,18.7,Petrol,Manual,First,5,,6.35,2,1197
804,Honda,City,Mumbai,2013,60669,74,23.4,Petrol,Manual,First,5,,4.95,7,1497
805,Honda,Amaze,Hyderabad,2018,12000,121.3,17.01,Diesel,Manual,First,5,10.34 Lakh,8.5,2,1498
806,Hyundai,Verna,Kolkata,2013,35000,197,10.91,Petrol,Manual,First,5,,4.5,7,1591
807,Honda,Mobilio,Chennai,2015,65000,81.83,18.6,Diesel,Manual,First,7,,5.5,5,1498
808,Maruti,Ertiga,Kochi,2013,39929,116.3,16.8,Diesel,Manual,First,7,,6.56,7,1248
809,Maruti,Alto,Pune,2014,49000,98.6,27.4,Petrol,Manual,First,5,4.29 Lakh,2.3,6,998
810,Toyota,Qualis,Pune,2004,77757,121.3,17.1,Diesel,Manual,Second,10,,3.5,16,2446
811,Hyundai,i10,Kochi,2016,21456,98.6,24.2,Petrol,Manual,First,5,,4.55,4,1197
812,Skoda,Laura,Bangalore,2009,74000,88.8,20.77,Diesel,Automatic,Second,5,,7.75,11,1896
813,Hyundai,i20,Mumbai,2015,37000,67.1,24.07,Petrol,Manual,Second,5,,5.25,5,1197
814,BMW,5 Series,Coimbatore,2013,108640,75,13.1,Diesel,Automatic,First,5,,23.29,7,2993
815,BMW,3 Series,Mumbai,2016,38000,78.9,20.36,Diesel,Automatic,First,5,,23.99,4,1995
816,Chevrolet,Aveo,Pune,2010,80000,105,17,Petrol,Manual,First,5,,1.79,10,1399
817,Mercedes-Benz,E-Class,Mumbai,2011,47000,81.83,18.6,Diesel,Automatic,Second,5,,13.9,9,2143
818,Audi,A6,Kolkata,2013,31000,235,11.5,Diesel,Automatic,First,5,,18.95,7,1968
819,Maruti,Wagon R,Kolkata,2014,40000,190,22.69,Petrol,Manual,First,5,,2.49,6,998
820,Renault,KWID,Jaipur,2016,4152,92.7,14.49,Petrol,Manual,First,5,,3.15,4,799
821,Volkswagen,Ameo,Mumbai,2017,51000,203,14.21,Diesel,Manual,First,5,10.04 Lakh,6.45,3,1498
822,Volkswagen,Polo,Ahmedabad,2013,55000,174.33,17.68,Diesel,Manual,First,5,,4.25,7,1199
823,Maruti,Alto,Hyderabad,2014,58500,67.04,20.51,Petrol,Manual,First,5,,2.75,6,796
824,Hyundai,i20,Kochi,2017,58620,53.3,25.17,Petrol,Manual,First,5,,7.14,3,1197
825,Toyota,Etios,Mumbai,2012,29605,108.62,21.66,Petrol,Manual,First,5,,2.44,8,1197
826,Hyundai,i20,Jaipur,2012,71172,73.9,22.07,Petrol,Manual,Third,5,,3.5,8,1197
827,Hyundai,i20,Chennai,2017,12000,47.3,22.74,Diesel,Manual,First,5,,7.3,3,1396
828,Maruti,Wagon R,Kolkata,2014,25000,81.83,18.6,Petrol,Manual,First,5,,2.75,6,998
829,Hyundai,i20,Bangalore,2017,43000,,18.3,Diesel,Manual,Second,5,,8.2,3,1396
830,Volkswagen,Polo,Mumbai,2015,57022,80,17,Petrol,Automatic,First,5,,6.51,5,1197
831,Ford,Figo,Pune,2015,92000,88.73,22.54,Diesel,Manual,First,5,,4.25,5,1399
832,Maruti,Swift,Coimbatore,2014,33372,67.04,20.51,Petrol,Manual,Second,5,,6.21,6,1197
833,Hyundai,Grand i10,Kochi,2016,52625,88.73,22.54,Diesel,Manual,First,5,,4.58,4,1120
834,Mahindra,Xylo,Chennai,2016,215000,103.6,17.21,Diesel,Manual,First,7,11.67 Lakh,7.5,4,2179
835,Maruti,Alto,Delhi,2012,65537,68.05,20,CNG,Manual,First,5,,2.1,8,796
836,Hyundai,i10,Coimbatore,2014,60138,85.8,18.6,Petrol,Manual,First,5,,4.09,6,1086
837,Skoda,Octavia,Mumbai,2014,84000,70,24,Diesel,Automatic,First,5,,10.75,6,1968
838,BMW,X5,Mumbai,2014,47000,118.3,14.02,Diesel,Automatic,First,7,,41.5,6,2993
839,Maruti,Celerio,Hyderabad,2014,33450,38.4,26.83,Petrol,Automatic,First,5,,4.4,6,998
840,Volkswagen,Vento,Jaipur,2013,125000,68.05,19.81,Diesel,Manual,Second,5,,6.25,7,1598
841,BMW,3 Series,Pune,2011,99606,141,19.3,Diesel,Automatic,Second,5,,10.5,9,1995
842,Maruti,Ertiga,Mumbai,2014,64000,258,15.97,Diesel,Manual,First,7,,7.25,6,1248
843,Ford,Figo,Hyderabad,2013,51000,67.04,23.1,Diesel,Manual,First,5,,3.2,7,1399
844,Volkswagen,Polo,Mumbai,2014,57000,103.6,20.54,Petrol,Manual,First,5,,3.95,6,1198
845,Audi,A6,Coimbatore,2009,48040,181,16.07,Diesel,Automatic,Second,5,,12.07,11,2967
846,Toyota,Innova,Pune,2017,43200,88.8,20.77,Diesel,Manual,First,7,25.52 Lakh,18.6,3,2393
847,Hyundai,Verna,Delhi,2013,66000,68.05,20,Diesel,Automatic,First,5,,5.7,7,1582
848,Hyundai,Santro,Kolkata,2013,31000,74,16.47,Petrol,Manual,First,5,,1.75,7,1086
849,Audi,A4,Delhi,2011,46000,241.38,16.77,Diesel,Automatic,Second,5,,10.99,9,1968
850,Audi,A4,Kolkata,2012,47346,147.8,13.68,Diesel,Automatic,First,5,,14.5,8,1968
851,Skoda,Laura,Jaipur,2009,100000,126.3,22.32,Diesel,Manual,First,5,,3.11,11,1896
852,Honda,CR-V,Coimbatore,2015,63856,62.1,17.92,Petrol,Automatic,First,5,,13.96,5,1997
853,Hyundai,Verna,Coimbatore,2015,72996,147.51,16.55,Diesel,Manual,First,5,,7.11,5,1582
854,Honda,Mobilio,Chennai,2014,23000,147.51,16.55,Diesel,Manual,First,7,,6.9,6,1498
855,Hyundai,i20,Coimbatore,2018,15985,105,17,Petrol,Manual,First,5,,7.77,2,1197
856,Toyota,Innova,Kolkata,2011,98000,153.86,13.7,Diesel,Manual,Second,8,,5.5,9,2494
857,Hyundai,i20,Hyderabad,2014,70089,126.32,22.32,Petrol,Manual,First,5,,5.35,6,1197
858,Mahindra,Bolero,Chennai,2011,99000,98.6,24.5,Diesel,Manual,Second,7,,4.5,9,2523
859,Volkswagen,Vento,Jaipur,2014,72000,81.83,18.6,Diesel,Manual,First,5,,4.75,6,1498
860,Jaguar,XF,Coimbatore,2015,44194,102,12.8,Diesel,Automatic,First,5,,32.8,5,2179
861,Maruti,Zen,Mumbai,2005,102000,81.83,18.6,Petrol,Manual,First,5,,0.7,15,993
862,Mercedes-Benz,E-Class,Coimbatore,2018,56652,63,13.6,Diesel,Automatic,First,5,,50.29,2,2987
863,Toyota,Fortuner,Mumbai,2010,41650,103.2,20.34,Diesel,Manual,Second,7,,10.99,10,2982
864,Hyundai,Grand i10,Coimbatore,2015,61717,187.7,16.36,Petrol,Automatic,First,5,,5.57,5,1197
865,Hyundai,Xcent,Jaipur,2018,25302,60,17.3,Diesel,Manual,First,5,8.56 Lakh,5.9,2,1186
866,Hyundai,Creta,Coimbatore,2016,47016,258,13,Petrol,Manual,First,5,,9.43,4,1591
867,Hyundai,i10,Bangalore,2010,69000,171,11.5,Petrol,Manual,First,5,,2.9,10,1197
868,Honda,Brio,Delhi,2016,32700,82,18.9,Petrol,Manual,First,5,,3.68,4,1198
869,Toyota,Fortuner,Coimbatore,2015,101337,73.97,25.4,Diesel,Automatic,First,7,,21.67,5,2982
870,Audi,A4,Ahmedabad,2011,59000,121.3,15.29,Diesel,Automatic,First,5,,12.5,9,1968
871,Toyota,Innova,Kochi,2018,41736,78.9,20.36,Diesel,Automatic,First,7,27 Lakh,19.92,2,2755
872,Honda,City,Jaipur,2014,71649,86.8,19.4,Diesel,Manual,First,5,,6.75,6,1498
873,Honda,City,Kochi,2015,80606,168.5,12.55,Diesel,Manual,First,5,,6.96,5,1498
874,Renault,KWID,Jaipur,2017,63262,140,16.55,Petrol,Manual,First,5,4.78 Lakh,3.25,3,999
875,Maruti,Swift,Hyderabad,2018,5456,171.5,11.36,Diesel,Manual,First,5,,8.65,2,1248
876,Maruti,Celerio,Pune,2017,7500,98.6,25.1,Petrol,Automatic,First,5,6.14 Lakh,5,3,998
877,Mahindra,XUV500,Delhi,2011,66000,98.6,25.1,Diesel,Manual,First,7,,5.5,9,2179
878,Hyundai,i10,Jaipur,2010,66770,67,21.7,Petrol,Manual,Second,5,,2.6,10,1197
879,Hyundai,i10,Kochi,2014,58472,74,28.4,Petrol,Manual,First,5,,3.41,6,1086
880,Maruti,Dzire,Kolkata,2011,46687,67.04,23.1,Petrol,Manual,First,5,7.3 Lakh,2.7,9,1197
881,Maruti,Grand Vitara,Chennai,2008,77000,140,15.1,Petrol,Automatic,Fourth & Above,5,,5.5,12,1995
882,Audi,TT,Kolkata,2012,7000,78.9,20.36,Petrol,Automatic,First,4,,35,8,1984
883,Mercedes-Benz,New C-Class,Mumbai,2011,48000,68.05,19.81,Petrol,Automatic,Second,5,,9.75,9,1991
884,Nissan,Sunny,Mumbai,2013,47000,81.8,22,Diesel,Manual,First,5,,4.25,7,1461
885,Maruti,Wagon R,Ahmedabad,2015,51530,163.5,9.7,Petrol,Manual,First,5,,3.2,5,998
886,Maruti,Swift Dzire,Bangalore,2014,25789,226.6,14.33,Diesel,Manual,Second,5,,6.85,6,1248
887,Honda,Amaze,Delhi,2015,48000,184,14.74,Diesel,Manual,First,5,,4.5,5,1498
888,Maruti,Swift,Delhi,2012,52000,84.8,21.64,Diesel,Manual,First,5,,3.55,8,1248
889,Hyundai,Accent,Hyderabad,2010,95637,67.1,18.9,CNG,Manual,Second,5,,1.9,10,1495
890,Mahindra,Scorpio,Hyderabad,2008,131000,74,23.4,Diesel,Manual,First,7,,3.6,12,2609
891,Mercedes-Benz,E-Class,Kochi,2015,42076,98.6,25.8,Diesel,Automatic,First,5,,21.8,5,2143
892,Toyota,Fortuner,Mumbai,2012,76000,74,28.4,Diesel,Manual,Second,7,,13.5,8,2982
893,Datsun,redi-GO,Bangalore,2016,20487,93.7,13.2,Petrol,Manual,First,5,4.37 Lakh,2.66,4,799
894,Honda,City,Delhi,2010,43000,120,10.5,Petrol,Manual,Second,5,,3.75,10,1497
895,Toyota,Camry,Pune,2018,17000,201.1,13,Petrol,Automatic,First,5,,32,2,2494
896,Honda,City,Coimbatore,2016,60805,168.5,13,Diesel,Manual,First,5,,8.07,4,1498
897,Volkswagen,Jetta,Kochi,2012,58775,53.64,22.7,Diesel,Manual,First,5,,5.64,8,1968
898,Audi,A6,Hyderabad,2013,70181,116.3,16.8,Diesel,Automatic,First,5,,23.99,7,1968
899,Maruti,Ertiga,Coimbatore,2016,85827,158.2,19.16,Diesel,Manual,First,7,,7.5,4,1248
900,Mercedes-Benz,New C-Class,Jaipur,2016,58205,98.6,26,Diesel,Automatic,First,5,,27,4,2143
901,Maruti,Swift Dzire,Mumbai,2008,91000,138.1,19.33,Diesel,Manual,Second,5,,2.85,12,1248
902,Renault,Duster,Pune,2012,74000,174.33,17.68,Diesel,Manual,First,5,,6.35,8,1461
903,Maruti,Ritz,Hyderabad,2010,79324,88.76,20.77,Diesel,Manual,First,5,,3.3,10,1248
904,Maruti,Swift Dzire,Bangalore,2013,38623,167.62,19.27,Petrol,Manual,First,5,,5,7,1197
905,Maruti,Swift,Coimbatore,2014,59923,73.9,19.3,Diesel,Manual,First,5,,6.46,6,1248
906,Hyundai,EON,Jaipur,2017,23360,108.45,19.01,Petrol,Manual,First,5,,3.75,3,814
907,Maruti,Zen,Kochi,2003,61495,73.9,21.1,Petrol,Manual,Third,5,,1.52,17,993
908,Maruti,Eeco,Coimbatore,2012,56661,85.8,19.1,Petrol,Manual,First,7,4.98 Lakh,3.61,8,1196
909,Audi,Q5,Coimbatore,2017,40318,74,22.9,Diesel,Automatic,First,5,,43.74,3,1968
910,Audi,Q3,Chennai,2014,60000,55.2,21.1,Diesel,Automatic,First,5,,20,6,1968
911,Smart,Fortwo,Pune,2008,103000,60,17.3,Diesel,Automatic,Second,2,,3,12,799
912,Maruti,Swift Dzire,Hyderabad,2010,130000,73,15.1,Diesel,Manual,First,5,,3.65,10,1248
913,Tata,Sumo,Mumbai,2013,20000,174.3,14.16,Diesel,Manual,First,10,,5.25,7,1978
914,BMW,X5,Hyderabad,2016,76000,174.33,15.73,Diesel,Automatic,First,7,,58,4,2993
915,Honda,City,Mumbai,2015,30000,,0,Petrol,Automatic,First,5,15.29 Lakh,8.65,5,1497
916,Tata,Indigo,Delhi,2015,150000,73.9,19.3,Diesel,Manual,First,5,,2.5,5,1396
917,Volkswagen,Vento,Chennai,2014,28000,83.1,14.07,Petrol,Automatic,First,5,,7.75,6,1197
918,Maruti,Celerio,Bangalore,2015,74000,258,15.97,Petrol,Manual,First,5,,4.15,5,998
919,Toyota,Fortuner,Delhi,2011,75000,117.3,18,Diesel,Manual,First,7,,10.85,9,2982
920,Mitsubishi,Outlander,Delhi,2010,76000,69.01,25,Petrol,Automatic,Second,5,,5.53,10,2360
921,Volkswagen,Jetta,Pune,2014,64889,103.6,16.93,Diesel,Automatic,First,5,,11.5,6,1896
922,Porsche,Cayman,Hyderabad,2010,10000,67.04,23.1,Petrol,Manual,First,2,,40,10,3436
923,Hyundai,Creta,Kolkata,2015,43000,171,11.5,Diesel,Manual,First,5,,9.25,5,1582
