Company,Model,Location,Year,Kilometers_Driven,Power_bhp,Mileage_n,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,No_Year,Engine_CC
Maruti,Wagon R,Ahmedabad,2010,21002,89.84,22.7,Petrol,Manual,First,5,4.74 Lakh,2.75,10,998
Maruti,Eeco,Coimbatore,2017,28371,73.9,22.07,Petrol,Manual,First,7,4.98 Lakh,4.74,3,1196
Renault,KWID,Delhi,2017,15000,67,20.51,Petrol,Manual,First,5,4.98 Lakh,4.25,3,999
Honda,WRV,Kochi,2018,15135,73.9,21.1,Petrol,Manual,First,5,10.57 Lakh,9.29,2,1199
Maruti,Wagon R,Coimbatore,2017,37832,86.7,18,Petrol,Automatic,First,5,6.33 Lakh,5.23,3,998
Hyundai,Grand i10,Coimbatore,2016,43041,121.3,17.1,Petrol,Manual,First,5,8.1 Lakh,6.01,4,1197
Hyundai,Grand i10,Kolkata,2017,31184,98.6,25.8,Petrol,Manual,First,5,6.4 Lakh,5,3,1197
Maruti,Dzire,Pune,2017,41747,181,16.07,Diesel,Automatic,First,5,11.26 Lakh,9,3,1248
Toyota,Etios,Coimbatore,2019,20877,89.84,22.7,Petrol,Manual,First,5,7.59 Lakh,7.27,1,1197
Maruti,Swift,Mumbai,2016,23555,90,13,Petrol,Manual,First,5,7 Lakh,5.1,4,1197
Volkswagen,Polo,Mumbai,2016,28000,74,22.9,Petrol,Automatic,First,5,11.26 Lakh,7.25,4,1197
Tata,Bolt,Hyderabad,2017,40000,78.9,18.16,Diesel,Manual,First,5,7.43 Lakh,5.25,3,1248
Hyundai,Elantra,Ahmedabad,2014,49000,68.05,20,Diesel,Automatic,First,5,22.43 Lakh,8.9,6,1582
Jeep,Compass,Mumbai,2017,7000,81.83,18.6,Diesel,Manual,First,5,24.02 Lakh,17.45,3,1956
Toyota,Corolla,Kochi,2012,83184,82,18.9,Petrol,Manual,First,5,21.69 Lakh,6.22,8,1798
Mercedes-Benz,GLE,Coimbatore,2017,33552,77,25.32,Diesel,Automatic,First,5,95.13 Lakh,64.87,3,2987
Mercedes-Benz,A Class,Mumbai,2016,17000,86.8,19.4,Petrol,Automatic,First,5,34.63 Lakh,17.25,4,1595
Hyundai,Grand i10,Kochi,2018,46493,84.8,19.3,Petrol,Manual,First,5,6.32 Lakh,5.53,2,1197
BMW,3 Series,Ahmedabad,2011,100000,112,23.8,Diesel,Automatic,Second,5,43.31 Lakh,10.9,9,1995
Maruti,Eeco,Mumbai,2014,34669,174.3,14.16,Petrol,Manual,First,7,4.71 Lakh,2.9,6,1196
Toyota,Innova,Kochi,2019,10601,103.52,15,Diesel,Automatic,First,7,20.74 Lakh,19.65,1,2755
Mercedes-Benz,GLS,Delhi,2018,6000,171.5,11.36,Diesel,Automatic,First,7,1.02 Cr,79,2,2987
Hyundai,Grand i10,Delhi,2018,9434,69,25,Petrol,Manual,First,5,6.71 Lakh,5.75,2,1197
Volkswagen,Ameo,Coimbatore,2018,35569,108.495,22,Petrol,Manual,First,5,8.68 Lakh,7.27,2,1198
Toyota,Fortuner,Ahmedabad,2017,15000,55.2,21.1,Diesel,Automatic,First,7,34.45 Lakh,30,3,2755
Maruti,Dzire,Delhi,2016,45376,34.2,16.8,Diesel,Manual,First,5,8.58 Lakh,5.75,4,1248
Ford,EcoSport,Kochi,2017,78526,98.6,27.3,Diesel,Manual,First,5,12.67 Lakh,8.09,3,1498
BMW,X1,Coimbatore,2015,42265,147.51,16.55,Diesel,Automatic,Second,5,48.18 Lakh,22.24,5,1995
Ford,EcoSport,Mumbai,2017,26000,258,14.69,Diesel,Manual,First,5,11.89 Lakh,8.99,3,1498
Maruti,Dzire,Jaipur,2017,24000,190,20.68,Diesel,Manual,First,5,10.48 Lakh,8.2,3,1248
Hyundai,Verna,Delhi,2013,57478,170,14.84,Petrol,Manual,Second,5,13.59 Lakh,5.25,7,1591
Maruti,Vitara,Hyderabad,2016,41372,126.2,19.67,Diesel,Manual,First,5,11.02 Lakh,9.3,4,1248
Mercedes-Benz,GLA,Pune,2017,35000,121.3,17,Diesel,Automatic,First,5,41.94 Lakh,23.5,3,2143
Maruti,Dzire,Mumbai,2012,74000,177.6,11.7,Diesel,Manual,Second,5,8.94 Lakh,4.25,8,1248
Jeep,Compass,Kochi,2018,28937,67.04,23.1,Diesel,Manual,First,5,21.38 Lakh,17.02,2,1956
Toyota,Corolla,Coimbatore,2013,63854,103.6,20.54,Diesel,Manual,First,5,19.27 Lakh,7.12,7,1364
Maruti,Vitara,Chennai,2018,3000,74,23.4,Diesel,Automatic,First,5,12.88 Lakh,11.25,2,1248
Hyundai,Xcent,Mumbai,2014,64241,73.75,28.4,Petrol,Manual,First,5,8.27 Lakh,3.67,6,1197
BMW,X1,Bangalore,2016,28143,88.5,24.3,Diesel,Automatic,First,5,48.18 Lakh,28.5,4,1995
Toyota,Innova,Hyderabad,2017,67000,75,15.7,Diesel,Manual,First,7,22.87 Lakh,16.5,3,2393
Hyundai,Grand i10,Kochi,2018,5354,147.51,16.55,Petrol,Automatic,First,5,7.37 Lakh,6.76,2,1197
Volkswagen,Polo,Chennai,2016,42000,68,13.8,Petrol,Manual,Second,5,7.33 Lakh,5.5,4,999
Maruti,Eeco,Coimbatore,2013,54885,187.7,16.36,Petrol,Manual,First,7,4.98 Lakh,3.75,7,1196
Toyota,Innova,Mumbai,2016,25121,120,12.05,Diesel,Manual,First,7,23.06 Lakh,17.11,4,2393
Mahindra,Bolero,Hyderabad,2012,75000,88.73,16.78,Diesel,Manual,First,7,10.32 Lakh,4.3,8,2523
Maruti,Ignis,Mumbai,2017,1000,104.68,15,Petrol,Manual,First,5,7.87 Lakh,6.36,3,1197
BMW,7 Series,Kochi,2015,29966,85.8,17.16,Diesel,Automatic,Second,5,1.4 Cr,43.6,5,2993
Maruti,Wagon R,Mumbai,2013,54000,46.3,19.7,CNG,Manual,First,5,5.58 Lakh,3.05,7,998
Jeep,Compass,Coimbatore,2018,33218,,0,Diesel,Manual,First,5,22.46 Lakh,19.05,2,1956
Mini,Cooper,Hyderabad,2017,2000,68.05,19.81,Diesel,Automatic,First,5,42.48 Lakh,34,3,1496
Tata,Zest,Chennai,2015,40000,100,18.49,Petrol,Manual,First,5,7.69 Lakh,4,5,1193
Ford,Aspire,Kolkata,2015,2800,67.1,20.92,Diesel,Manual,First,5,9.4 Lakh,8.41,5,1498
Hyundai,Grand i10,Coimbatore,2016,37429,79.4,18.6,Petrol,Manual,First,5,8.1 Lakh,5.89,4,1197
Honda,City,Delhi,2011,67031,99,26.1,Petrol,Manual,First,5,11.85 Lakh,4,9,1497
Maruti,Celerio,Mumbai,2016,47691,117.3,18,Petrol,Automatic,First,5,6.08 Lakh,3.94,4,998
Maruti,Dzire,Kolkata,2015,28193,152,10.1,Diesel,Manual,First,5,8.36 Lakh,5.25,5,1248
Mercedes-Benz,SLC,Coimbatore,2019,2526,81.86,18.9,Petrol,Automatic,First,2,1.06 Cr,83.96,1,2996
Mercedes-Benz,E-Class,Hyderabad,2013,85000,88.5,28.09,Diesel,Automatic,First,5,71.15 Lakh,21,7,1950
Hyundai,Grand i10,Ahmedabad,2015,20780,117.3,17.4,Petrol,Manual,First,5,6.82 Lakh,4.3,5,1197
Mercedes-Benz,GLE,Kochi,2017,25601,100,17.21,Diesel,Automatic,First,5,78.76 Lakh,56.73,3,2143
Ford,Freestyle,Mumbai,2007,1261,168.7,13,Petrol,Manual,First,5,8.12 Lakh,6,13,1194
Hyundai,Elite,Coimbatore,2017,59450,55.23,24.6,Petrol,Manual,First,5,9.78 Lakh,7.53,3,1197
Maruti,Baleno,Mumbai,2016,12573,83.1,21.4,Petrol,Manual,First,5,7.36 Lakh,5.8,4,1197
Toyota,Fortuner,Pune,2017,29000,83.1,21.4,Diesel,Automatic,First,7,38.11 Lakh,31,3,2755
Maruti,Ertiga,Delhi,2013,68000,241.4,12.07,Diesel,Manual,First,7,11.75 Lakh,4.85,7,1248
Maruti,Swift,Hyderabad,2013,84000,69.01,25,Diesel,Manual,First,5,8.44 Lakh,5.65,7,1248
Hyundai,Creta,Delhi,2016,24347,91.1,19.12,Petrol,Manual,First,5,16.06 Lakh,11,4,1591
Honda,City,Mumbai,2017,17000,140,16,Petrol,Automatic,First,5,15.29 Lakh,11.6,3,1497
Honda,Brio,Kochi,2014,41460,100.6,12.99,Petrol,Manual,First,5,6.63 Lakh,3.95,6,1198
Land,Rover,Mumbai,2017,35000,73.9,16.47,Diesel,Automatic,First,7,1.27 Cr,41.6,3,2993
Toyota,Fortuner,Bangalore,2015,150386,140,16,Diesel,Manual,First,7,39.6 Lakh,23,5,2755
Maruti,Vitara,Ahmedabad,2017,80000,98.6,25.8,Diesel,Manual,First,5,10.91 Lakh,8,3,1248
Hyundai,Tucson,Mumbai,2016,13000,47.3,22.74,Petrol,Automatic,First,5,25.75 Lakh,17.75,4,1999
Maruti,Wagon R,Kolkata,2016,16956,88.5,24.3,Petrol,Manual,First,5,5.29 Lakh,3.6,4,998
Maruti,Wagon R,Mumbai,2010,38000,204,13,Petrol,Manual,Second,5,5.61 Lakh,1.75,10,998
Honda,Brio,Mumbai,2017,20000,67.1,24.07,Petrol,Automatic,First,5,8.05 Lakh,5.99,3,1198
Toyota,Etios,Kochi,2016,36681,82.5,18.2,Diesel,Manual,First,5,8.82 Lakh,6.71,4,1364
Honda,City,Coimbatore,2018,20300,103.52,14.3,Petrol,Automatic,First,5,17.38 Lakh,14.21,2,1497
Maruti,Celerio,Kochi,2017,21799,73.9,16.47,Petrol,Manual,First,5,5.69 Lakh,5.11,3,998
Toyota,Innova,Hyderabad,2017,35358,67.1,18.2,Diesel,Automatic,First,7,26.56 Lakh,22.99,3,2755
Tata,Tiago,Jaipur,2016,42700,117.3,18,Petrol,Manual,First,5,5.61 Lakh,3.6,4,1199
Toyota,Fortuner,Hyderabad,2010,110000,103.6,15.04,Diesel,Manual,First,7,37.51 Lakh,13.7,10,2755
Maruti,Wagon R,Mumbai,2015,55000,73.94,23.2,Petrol,Manual,First,5,5.88 Lakh,3.1,5,1197
Honda,City,Hyderabad,2017,46000,85.8,19.1,Diesel,Manual,First,5,16.95 Lakh,12.9,3,1498
BMW,5 Series,Ahmedabad,2012,95000,126.2,19.67,Diesel,Automatic,Second,5,63.71 Lakh,17.5,8,1995
Ford,EcoSport,Delhi,2017,39000,,18.3,Diesel,Manual,First,5,11.47 Lakh,8.45,3,1498
Toyota,Fortuner,Mumbai,2010,140000,171,11.5,Diesel,Manual,First,7,37.46 Lakh,10.75,10,2755
Maruti,Swift,Kochi,2016,62192,184,11.18,Diesel,Manual,First,5,7.88 Lakh,5.22,4,1248
Maruti,Ciaz,Kochi,2018,38394,81.83,18.6,Petrol,Manual,First,5,11.37 Lakh,9.18,2,1462
Hyundai,Elantra,Delhi,2016,28000,147.51,16.55,Petrol,Automatic,First,5,21.77 Lakh,13.9,4,1999
Volkswagen,Vento,Mumbai,2011,47000,121.3,15.29,Diesel,Manual,First,5,11.3 Lakh,3.25,9,1498
Mercedes-Benz,E-Class,Coimbatore,2019,9312,80,19.2,Diesel,Automatic,First,5,92.5 Lakh,78.8,1,2987
Hyundai,Elantra,Coimbatore,2015,58239,117.3,17.8,Petrol,Automatic,First,5,23.64 Lakh,9.69,5,1999
Nissan,Terrano,Mumbai,2014,51000,103.2,15.04,Diesel,Manual,First,5,15.06 Lakh,5.65,6,1461
Toyota,Fortuner,Ahmedabad,2016,88008,37.48,23.9,Diesel,Automatic,Second,7,34.45 Lakh,22.5,4,2755
Mercedes-Benz,GLA,Mumbai,2018,10000,258,15.97,Diesel,Automatic,First,5,41.94 Lakh,28.9,2,2143
Mini,Cooper,Chennai,2012,17000,82,18.9,Petrol,Automatic,Second,4,44.28 Lakh,22,8,1998
Mini,Cooper,Mumbai,2013,21000,183,15.04,Petrol,Automatic,First,4,39.57 Lakh,21.5,7,1998
Maruti,Wagon R,Pune,2014,29202,126.32,22.32,CNG,Manual,First,5,5.54 Lakh,3.9,6,998
Skoda,Rapid,Mumbai,2017,32000,163.5,10.4,Petrol,Automatic,First,5,13.7 Lakh,8.11,3,1598
Maruti,Ertiga,Delhi,2017,65000,78.9,20.36,Diesel,Manual,First,7,11.16 Lakh,7.65,3,1248
Ford,EcoSport,Kolkata,2016,21460,88.5,24.3,Petrol,Manual,First,5,9.47 Lakh,6,4,1497
Honda,Jazz,Hyderabad,2015,33000,88.5,25.47,Petrol,Automatic,First,5,10.17 Lakh,7.25,5,1199
Maruti,Vitara,Jaipur,2017,48324,121.36,17,Diesel,Manual,First,5,11.47 Lakh,9,3,1248
Hyundai,Grand i10,Kochi,2017,20773,88.7,19,Diesel,Manual,First,5,8.17 Lakh,5.92,3,1186
Volkswagen,Polo,Kolkata,2016,22000,200,11.1,Diesel,Manual,First,5,9.58 Lakh,6.29,4,1498
BMW,3 Series,Mumbai,2013,25000,88.5,24.3,Diesel,Automatic,First,5,47.87 Lakh,17.99,7,1995
Mahindra,Xylo,Chennai,2015,82000,86.7,18,Diesel,Manual,Second,7,11.67 Lakh,4.85,5,2179
Maruti,Dzire,Hyderabad,2011,110000,68,18.5,Diesel,Manual,First,5,9.14 Lakh,4,9,1248
Volkswagen,Polo,Delhi,2012,68038,78.9,20.36,Diesel,Manual,First,5,9.96 Lakh,3.6,8,1498
BMW,5 Series,Ahmedabad,2013,55000,158.2,19.16,Diesel,Automatic,First,5,63.71 Lakh,21.75,7,1995
Mercedes-Benz,GLC,Mumbai,2017,25000,68,20,Diesel,Automatic,First,5,64.14 Lakh,45,3,2143
Maruti,Alto,Coimbatore,2011,46808,81.86,19.1,Petrol,Manual,Second,5,4.7 Lakh,3.19,9,998
Hyundai,Xcent,Coimbatore,2015,65743,81.83,18.6,Petrol,Manual,First,5,7.85 Lakh,6.2,5,1197
Hyundai,Creta,Mumbai,2016,29477,,18.3,Petrol,Manual,First,5,16.36 Lakh,10.25,4,1591
Toyota,Fortuner,Delhi,2017,40000,55.2,21.1,Diesel,Automatic,First,7,37.38 Lakh,30,3,2755
Ford,EcoSport,Mumbai,2017,30000,170,17.9,Diesel,Manual,First,5,11.89 Lakh,8.99,3,1498
Tata,Zest,Delhi,2017,47000,74,23.4,Petrol,Manual,Second,5,6.62 Lakh,4.5,3,1193
Maruti,Vitara,Kochi,2017,45362,83.1,21.4,Diesel,Manual,First,5,11.75 Lakh,9.38,3,1248
Tata,Hexa,Coimbatore,2019,14233,98.6,24.5,Diesel,Automatic,First,7,22.74 Lakh,17.85,1,2179
Skoda,Superb,Mumbai,2010,62004,141,19.3,Petrol,Automatic,Second,5,33.36 Lakh,3.75,10,1798
Volkswagen,Vento,Mumbai,2016,25500,102,12.8,Diesel,Automatic,First,5,15.86 Lakh,8.95,4,1498
Mercedes-Benz,E-Class,Mumbai,2018,11000,108.5,21.5,Diesel,Automatic,First,5,70.55 Lakh,56.5,2,1950
BMW,3 Series,Mumbai,2014,18600,,17.8,Diesel,Automatic,Second,5,54.43 Lakh,21,6,1995
Land,Rover,Delhi,2016,59000,313,17.54,Diesel,Automatic,First,7,1.13 Cr,36.75,4,2993
Mercedes-Benz,CLA,Coimbatore,2017,20969,74,28.4,Diesel,Automatic,First,5,45.36 Lakh,27.87,3,2143
Maruti,Vitara,Kolkata,2018,2900,141,19.5,Diesel,Manual,First,5,10.13 Lakh,8.75,2,1248
Skoda,Rapid,Coimbatore,2018,5833,120,10.5,Diesel,Manual,First,5,14.22 Lakh,11.92,2,1498
Mahindra,NuvoSport,Coimbatore,2017,37712,,18.48,Diesel,Manual,First,7,11.77 Lakh,7.57,3,1493
Datsun,redi-GO,Kochi,2018,30953,170,13.2,Petrol,Manual,First,5,4.05 Lakh,3.48,2,799
Jeep,Compass,Coimbatore,2018,48188,79.4,18.6,Diesel,Manual,First,5,26.95 Lakh,21.69,2,1956
Toyota,Innova,Coimbatore,2017,65367,66,18.7,Diesel,Automatic,First,7,28.05 Lakh,20.14,3,2755
Maruti,Wagon R,Mumbai,2016,8000,103.6,20.54,Petrol,Automatic,First,5,6.14 Lakh,4.15,4,998
Maruti,Alto,Mumbai,2016,13198,78.9,20.36,Petrol,Manual,First,5,4.82 Lakh,3.15,4,998
Tata,Tiago,Coimbatore,2019,15379,86.7,18,Petrol,Automatic,First,5,7.17 Lakh,6.97,1,1199
Mini,Cooper,Mumbai,2016,15000,67,22.5,Petrol,Automatic,First,4,44.28 Lakh,35,4,1998
Hyundai,Verna,Pune,2017,50000,67.1,24.07,Diesel,Manual,First,5,15.72 Lakh,11.5,3,1582
Renault,Duster,Pune,2016,54000,126.2,22,Diesel,Manual,First,5,11.27 Lakh,6.5,4,1461
Honda,BRV,Pune,2016,9200,103.2,20.34,Petrol,Manual,First,7,13.58 Lakh,8,4,1497
Honda,Amaze,Hyderabad,2015,29000,117.3,17.4,Diesel,Manual,First,5,9.09 Lakh,5.99,5,1498
Maruti,Alto,Kochi,2018,46805,98.6,27.4,Petrol,Manual,First,5,4.09 Lakh,3.63,2,998
Tata,Zest,Mumbai,2017,100000,83.1,21.4,Petrol,Manual,First,5,6.83 Lakh,4.25,3,1193
Maruti,Wagon R,Kochi,2011,15466,201,10.4,Petrol,Manual,First,5,5.04 Lakh,3.36,9,998
BMW,3 Series,Kolkata,2011,70000,67.1,18.9,Diesel,Automatic,First,5,43.81 Lakh,10.3,9,1995
Maruti,Wagon R,Kochi,2014,41994,66.1,19,Petrol,Manual,First,5,5.12 Lakh,3.41,6,998
Audi,Q3,Bangalore,2015,51000,88.73,22.54,Diesel,Automatic,First,5,48.64 Lakh,27.5,5,1968
Maruti,Wagon R,Jaipur,2015,64876,67.04,23.1,Petrol,Manual,First,5,5.71 Lakh,3.5,5,1197
Maruti,Celerio,Kochi,2016,70536,157.8,13.4,CNG,Manual,First,5,5.87 Lakh,4.58,4,998
Maruti,Vitara,Coimbatore,2017,25299,68,20,Diesel,Manual,First,5,12.56 Lakh,10.34,3,1248
Honda,Amaze,Kochi,2016,40866,190,22.69,Petrol,Manual,First,5,8.16 Lakh,5.47,4,1199
Mini,Cooper,Kochi,2017,20469,67.04,22.5,Petrol,Automatic,First,4,44.28 Lakh,35.98,3,1998
Volkswagen,Ameo,Kochi,2018,31426,62.1,17.92,Diesel,Manual,First,5,9.72 Lakh,7.9,2,1498
Maruti,Baleno,Kochi,2019,13574,189.08,16.82,Petrol,Automatic,First,5,10.3 Lakh,9.51,1,1197
BMW,5 Series,Ahmedabad,2013,90000,86.8,16.5,Diesel,Automatic,First,5,63.71 Lakh,19.5,7,1995
Maruti,Vitara,Kochi,2017,38426,88.76,21.19,Diesel,Manual,First,5,11.12 Lakh,9.13,3,1248
Maruti,Eeco,Pune,2011,45000,83.1,21.4,Petrol,Manual,First,7,4.69 Lakh,2.25,9,1196
Maruti,Wagon R,Mumbai,2010,37822,73.9,19.3,Petrol,Manual,First,5,5.04 Lakh,2.35,10,998
Toyota,Innova,Coimbatore,2017,72202,88.5,24.3,Diesel,Manual,First,8,24.01 Lakh,17.92,3,2393
Mercedes-Benz,GLE,Coimbatore,2018,30706,67.04,22.5,Diesel,Automatic,First,5,95.13 Lakh,59.29,2,2987
Maruti,Baleno,Mumbai,2016,12208,55.2,21.1,Petrol,Manual,First,5,8.78 Lakh,6.75,4,1197
Volkswagen,Polo,Mumbai,2017,27853,81.8,20.4,Petrol,Automatic,First,5,11.26 Lakh,8.25,3,1197
Hyundai,Grand i10,Kochi,2018,20689,83,15.3,Petrol,Manual,First,5,6.68 Lakh,6.07,2,1197
Renault,KWID,Coimbatore,2017,53285,90,23,Petrol,Automatic,First,5,5.42 Lakh,4.28,3,999
Mercedes-Benz,GLE,Mumbai,2017,19863,83.1,21.4,Diesel,Automatic,First,5,91.23 Lakh,64.95,3,2987
Hyundai,Grand i10,Mumbai,2018,3958,107.2,10.5,Petrol,Manual,First,5,7.14 Lakh,5.55,2,1197
BMW,X3,Hyderabad,2009,58000,254.79,11.57,Diesel,Automatic,First,5,69.59 Lakh,17.98,11,1995
Renault,KWID,Kochi,2018,18335,140,15.1,Petrol,Manual,First,5,4.61 Lakh,4.5,2,999
Volkswagen,Polo,Mumbai,2017,25000,190,18.56,Petrol,Automatic,First,5,11.26 Lakh,7.75,3,1197
Toyota,Fortuner,Kochi,2019,21719,190,18.12,Diesel,Automatic,First,7,37.38 Lakh,33.13,1,2755
Renault,KWID,Hyderabad,2018,4126,177,18.48,Petrol,Manual,First,5,5.3 Lakh,4.8,2,999
Tata,Bolt,Hyderabad,2017,98500,121.3,17.1,Diesel,Manual,First,5,7.97 Lakh,6,3,1248
BMW,3 Series,Coimbatore,2009,103905,157.75,13.7,Diesel,Automatic,First,5,43.31 Lakh,9.92,11,1995
Audi,A6,Delhi,2014,56000,56.3,25.44,Diesel,Automatic,First,5,59.38 Lakh,24,6,1968
Volkswagen,Vento,Kochi,2017,33550,83.14,20.85,Diesel,Automatic,First,5,15.86 Lakh,9.6,3,1498
Audi,A6,Hyderabad,2014,62000,67,21.7,Diesel,Automatic,First,5,67.1 Lakh,25,6,1968
Ford,EcoSport,Coimbatore,2018,27852,86.7,18,Petrol,Automatic,First,5,14.1 Lakh,10.44,2,1497
Tata,Nexon,Mumbai,2018,14000,73.9,16.47,Diesel,Manual,First,5,12.22 Lakh,9.9,2,1497
Isuzu,MUX,Jaipur,2017,34429,108.5,19.01,Diesel,Automatic,First,7,33.68 Lakh,20,3,2999
Toyota,Corolla,Ahmedabad,2012,52100,108.5,21.5,Diesel,Manual,First,5,19.27 Lakh,6.5,8,1364
Hyundai,Grand i10,Jaipur,2018,10000,68.05,20,Petrol,Manual,First,5,6.96 Lakh,5.85,2,1197
Jeep,Compass,Coimbatore,2019,6261,300,17.85,Diesel,Manual,First,5,26.95 Lakh,23.91,1,1956
Maruti,Ignis,Coimbatore,2019,3906,126.2,17.01,Petrol,Automatic,First,5,7.96 Lakh,7.36,1,1197
Toyota,Innova,Mumbai,2017,38000,174.57,13.8,Diesel,Manual,First,7,23.06 Lakh,17.65,3,2393
Toyota,Platinum,Hyderabad,2015,150000,91.1,20.73,Diesel,Manual,First,5,9.58 Lakh,6,5,1364
Toyota,Innova,Delhi,2017,18000,81.8,20.89,Diesel,Automatic,First,8,20.8 Lakh,18.25,3,2755
Nissan,Micra,Ahmedabad,2016,41000,171.5,11.36,Petrol,Manual,First,5,6.78 Lakh,4.25,4,1198
Jeep,Compass,Hyderabad,2017,37000,88.2,16.1,Diesel,Manual,First,5,19.91 Lakh,16.9,3,1956
Tata,Zest,Pune,2017,72000,74,22.9,Diesel,Manual,First,5,8.93 Lakh,5,3,1248
Maruti,Dzire,Hyderabad,2013,34900,67.04,19.69,Petrol,Manual,First,5,7.97 Lakh,5.49,7,1197
Maruti,Wagon R,Mumbai,2014,25422,82,18.9,Petrol,Manual,First,5,5.04 Lakh,3.25,6,998
Maruti,Ertiga,Mumbai,2018,14000,74,22.95,Diesel,Manual,First,7,11.66 Lakh,9.25,2,1248
Mahindra,KUV,Kolkata,2017,43000,89.84,22.7,Petrol,Manual,First,5,7.35 Lakh,4.5,3,1198
Maruti,Swift,Pune,2010,68000,121.3,13,Petrol,Manual,First,5,6.99 Lakh,2.8,10,1197
Jeep,Compass,Pune,2018,16039,170,13.2,Diesel,Manual,First,5,23.89 Lakh,18.5,2,1956
Maruti,Swift,Hyderabad,2016,52000,66.1,19,Diesel,Manual,First,5,7.27 Lakh,5.95,4,1248
Maruti,Swift,Kochi,2015,53500,112,12.6,Diesel,Manual,First,5,7.88 Lakh,5.36,5,1248
Hyundai,Xcent,Mumbai,2016,50000,73.94,23.2,Diesel,Manual,First,5,8.84 Lakh,3.5,4,1186
BMW,3 Series,Delhi,2019,87000,203,14.21,Diesel,Automatic,First,5,52.46 Lakh,6.67,1,1995
Mahindra,Xylo,Coimbatore,2016,93166,73.9,22.07,Diesel,Manual,Second,7,11.67 Lakh,5.85,4,2179
Toyota,Corolla,Kolkata,2018,5000,70,15.6,Petrol,Automatic,First,5,22.37 Lakh,16.95,2,1798
Skoda,Rapid,Mumbai,2015,39822,74,16.47,Petrol,Manual,First,5,12.02 Lakh,4.68,5,1598
Renault,KWID,Kochi,2017,24214,103.52,15,Petrol,Manual,Second,5,3.95 Lakh,3.46,3,799
BMW,3 Series,Coimbatore,2013,85846,118.3,14.02,Diesel,Automatic,First,5,48.79 Lakh,13.08,7,1995
Maruti,Alto,Kochi,2018,44202,80,18.5,CNG,Manual,First,4,4.66 Lakh,4,2,998
Maruti,Vitara,Kochi,2017,35981,35,14,Diesel,Manual,First,5,11.29 Lakh,9.51,3,1248
Maruti,Wagon R,Delhi,2014,74663,126.2,17.01,CNG,Manual,First,5,5.35 Lakh,3.25,6,998
Porsche,Cayenne,Kochi,2019,14298,102,12.8,Petrol,Automatic,First,5,1.36 Cr,2.02,1,2995
Honda,Brio,Mumbai,2015,22000,184,17.05,Petrol,Manual,First,5,6.23 Lakh,3.95,5,1198
Hyundai,Grand i10,Coimbatore,2019,12153,68.05,19.81,Petrol,Automatic,First,5,7.98 Lakh,6.84,1,1197
Audi,A4,Kochi,2017,61221,60,17.3,Petrol,Automatic,First,5,47.16 Lakh,21.73,3,1395
Mini,Cooper,Kochi,2019,14857,148,14.1,Diesel,Automatic,First,5,41.98 Lakh,31.55,1,1496
Ford,Endeavour,Coimbatore,2019,14648,80,17,Diesel,Manual,First,7,35.29 Lakh,27.36,1,2198
Tata,Zest,Kochi,2017,48198,187.7,16.36,Petrol,Manual,First,5,7.63 Lakh,4.65,3,1193
Maruti,Dzire,Pune,2012,150000,85.8,19.1,Diesel,Manual,Third,5,7.91 Lakh,2.25,8,1248
Maruti,Eeco,Ahmedabad,2015,47001,47.3,22.74,CNG,Manual,First,5,5.36 Lakh,3.72,5,1196
Maruti,Wagon R,Chennai,2014,52000,113.98,20.7,Petrol,Manual,First,5,5.51 Lakh,3.45,6,998
Hyundai,Grand i10,Coimbatore,2017,62788,82.4,18.2,Petrol,Manual,First,5,8.1 Lakh,6.08,3,1197
Toyota,Innova,Pune,2018,20300,163.7,17.3,Diesel,Automatic,First,7,20.97 Lakh,18,2,2755
Mini,Cooper,Kochi,2015,27641,126.32,22.32,Diesel,Automatic,Second,4,34.89 Lakh,24.77,5,1496
Mahindra,XUV500,Delhi,2018,9000,73.9,16.47,Diesel,Manual,First,7,16.4 Lakh,13,2,2179
BMW,7 Series,Kolkata,2012,41100,130.2,14.8,Diesel,Automatic,First,5,1.66 Cr,26.5,8,2993
Honda,City,Mumbai,2015,19000,121.3,13,Petrol,Automatic,First,5,15.29 Lakh,8.95,5,1497
Honda,City,Jaipur,2017,35000,138.03,14.28,Petrol,Automatic,First,5,14.67 Lakh,7.7,3,1497
Honda,City,Mumbai,2017,11000,261.49,16.77,Petrol,Manual,First,5,12.57 Lakh,8.5,3,1497
Nissan,Micra,Chennai,2012,93450,73.9,19.3,Diesel,Manual,Second,5,9.48 Lakh,2.5,8,1461
Maruti,Dzire,Ahmedabad,2013,56454,117.3,17.4,Diesel,Manual,First,5,8.95 Lakh,4.65,7,1248
Jeep,Compass,Kolkata,2017,15050,83.1,14.07,Diesel,Manual,First,5,23.19 Lakh,17.5,3,1956
Ford,Freestyle,Kolkata,2018,8896,168.5,12.55,Petrol,Manual,First,5,8.24 Lakh,7.34,2,1194
Honda,Jazz,Mumbai,2016,31378,203,14.21,Petrol,Manual,First,5,8.71 Lakh,5.9,4,1199
Audi,Q3,Mumbai,2017,31000,73.75,28.4,Diesel,Automatic,First,5,44.75 Lakh,27,3,1968
Mercedes-Benz,E-Class,Kolkata,2015,7501,88.7,18.7,Petrol,Automatic,First,4,87.57 Lakh,48,5,2996
